# id,beta
0,2.29409
1,4.84836
2,1.30693
3,1.21727
4,2.08158
5,1.02781
6,2.38828
7,4.84836
8,1.47194
9,1.21727
10,1.21727
11,4.84836
12,4.84836
13,2.38828
14,1.21727
15,2.39807
16,1.96120
17,4.84836
18,4.84836
19,4.84836
20,4.84836
21,4.84836
22,4.84836
23,4.84836
24,0.94345
25,4.84836
26,4.84836
27,1.96120
28,4.84836
29,4.84836
30,4.84836
31,2.38828
32,1.21727
33,1.35301
34,4.84836
35,4.84836
36,4.84836
37,0.97110
38,1.52043
39,4.84836
40,4.84836
41,2.39807
42,2.29409
43,4.84836
44,1.01435
45,1.21727
46,1.20908
47,4.84836
48,4.84836
49,2.29409
50,2.38828
51,1.02163
52,1.20908
53,4.84836
54,1.50877
55,2.29409
56,1.01522
57,1.02846
58,1.46736
59,2.29409
60,4.84836
61,1.55732
62,4.84836
63,1.01203
64,4.84836
65,2.38828
66,1.02163
67,1.21727
68,4.84836
69,1.55732
70,4.84836
71,1.32772
72,4.84836
73,1.47194
74,4.84836
75,4.84836
76,1.01522
77,1.21727
78,4.84836
79,2.29409
80,2.38828
81,4.84836
82,4.84836
83,4.84836
84,2.39807
85,2.38828
86,4.84836
87,4.84836
88,4.84836
89,1.36288
90,1.21727
91,4.84836
92,1.50410
93,4.84836
94,1.52043
95,2.38828
96,2.08158
97,4.84836
98,1.21727
99,2.39807
100,2.39807
101,4.84836
102,4.84836
103,4.84836
104,1.21727
105,1.46736
106,4.84836
107,4.84836
108,0.92989
109,2.38828
110,4.84836
111,4.84836
112,2.39807
113,4.84836
114,1.21727
115,1.50877
116,1.21727
117,2.38828
118,2.29409
119,4.84836
120,4.84836
121,4.84836
122,2.29409
123,4.84836
124,2.38828
125,2.38828
126,4.84836
127,4.84836
128,4.84836
129,4.84836
130,1.50410
131,2.29409
132,1.33218
133,1.47194
134,1.50877
135,4.84836
136,2.38828
137,2.39807
138,4.84836
139,4.84836
140,4.84836
141,4.84836
142,4.84836
143,1.02163
144,4.84836
145,1.50410
146,1.29207
147,4.84836
148,2.39807
149,2.38828
150,4.84836
151,4.84836
152,4.84836
153,4.84836
154,4.84836
155,1.52043
156,4.84836
157,4.84836
158,4.84836
159,1.01522
160,4.84836
161,4.84836
162,4.84836
163,4.84836
164,4.84836
165,4.84836
166,4.84836
167,1.21727
168,1.02846
169,1.96120
170,4.84836
171,4.84836
172,1.21727
173,4.84836
174,4.84836
175,4.84836
176,2.38828
177,1.52043
178,1.50877
179,1.21727
180,1.00341
181,4.84836
182,0.98868
183,2.39807
184,4.84836
185,4.84836
186,1.50877
187,2.08158
188,4.84836
189,2.38828
190,2.39807
191,1.21727
192,1.96120
193,4.84836
194,2.38828
195,4.84836
196,4.84836
197,1.36288
198,1.21727
199,1.46736
200,4.84836
201,1.47194
202,1.50877
203,4.84836
204,1.21727
205,1.47194
206,4.84836
207,1.21727
208,2.29409
209,4.84836
210,1.21727
211,4.84836
212,1.21727
213,4.84836
214,4.84836
215,4.84836
216,4.84836
217,1.52043
218,4.84836
219,4.84836
220,1.02781
221,1.20908
222,4.84836
223,4.84836
224,4.84836
225,4.84836
226,4.84836
227,4.84836
228,4.84836
229,1.21727
230,2.38828
231,2.39807
232,1.46736
233,1.31003
234,4.84836
235,4.84836
236,1.21727
237,4.84836
238,1.21727
239,1.21727
240,4.84836
241,4.84836
242,1.01435
243,0.90106
244,4.84836
245,4.84836
246,4.84836
247,1.36654
248,4.84836
249,4.84836
250,4.84836
251,1.50877
252,1.02846
253,4.84836
254,1.01354
255,1.35301
256,2.39807
257,1.02163
258,4.84836
259,1.02846
260,1.21727
261,4.84836
262,2.38828
263,4.84836
264,4.84836
265,4.84836
266,4.84836
267,4.84836
268,2.08158
269,2.39807
270,2.29409
271,1.52043
272,4.84836
273,2.29409
274,1.96120
275,1.36654
276,1.50410
277,4.84836
278,4.84836
279,1.36288
280,2.39807
281,4.84836
282,4.84836
283,4.84836
284,4.84836
285,4.84836
286,4.84836
287,4.84836
288,4.84836
289,1.27744
290,4.84836
291,4.84836
292,4.84836
293,1.02846
294,1.02163
295,4.84836
296,1.50877
297,1.21727
298,4.84836
299,1.21727
300,1.20908
301,1.55732
302,1.01203
303,4.84836
304,2.29409
305,2.38828
306,1.21727
307,4.84836
308,1.50877
309,1.21727
310,1.39701
311,4.84836
312,4.84836
313,4.84836
314,2.38828
315,2.39807
316,4.84836
317,4.84836
318,1.39294
319,1.50877
320,1.55732
321,4.84836
322,4.84836
323,4.84836
324,4.84836
325,2.39807
326,2.29409
327,4.84836
328,4.84836
329,4.84836
330,2.39807
331,4.84836
332,4.84836
333,1.02781
334,1.30693
335,2.08158
336,4.84836
337,4.84836
338,4.84836
339,4.84836
340,1.50877
341,4.84836
342,4.84836
343,1.39294
344,2.39807
345,2.08158
346,4.84836
347,4.84836
348,2.38828
349,1.36654
350,1.21727
351,4.84836
352,0.90002
353,1.36288
354,1.39701
355,4.84836
356,4.84836
357,4.84836
358,1.50877
359,1.50410
360,4.84836
361,4.84836
362,0.92861
363,1.47194
364,1.21727
365,1.36288
366,1.36288
367,4.84836
368,1.21727
369,1.52043
370,0.97110
371,1.27744
372,4.84836
373,2.39807
374,2.29409
375,1.33218
376,1.02781
377,2.38828
378,4.84836
379,4.84836
380,4.84836
381,2.39807
382,4.84836
383,1.55732
384,4.84836
385,4.84836
386,4.84836
387,1.21727
388,4.84836
389,1.01203
390,4.84836
391,1.46736
392,1.50410
393,4.84836
394,1.52043
395,1.32772
396,1.39701
397,4.84836
398,1.30693
399,4.84836
400,1.52043
401,2.29409
402,4.84836
403,4.84836
404,1.27744
405,4.84836
406,4.84836
407,4.84836
408,4.84836
409,1.47194
410,0.94345
411,1.01203
412,4.84836
413,4.84836
414,4.84836
415,4.84836
416,2.38828
417,1.01522
418,2.08158
419,1.21727
420,2.39807
421,4.84836
422,4.84836
423,2.39807
424,1.50410
425,4.84836
426,2.08158
427,4.84836
428,1.02781
429,1.35301
430,4.84836
431,4.84836
432,4.84836
433,4.84836
434,4.84836
435,4.84836
436,2.38828
437,2.38828
438,2.39807
439,4.84836
440,1.21727
441,4.84836
442,4.84836
443,2.29409
444,4.84836
445,2.39807
446,2.38828
447,1.29207
448,4.84836
449,4.84836
450,4.84836
451,2.29409
452,2.29409
453,2.08158
454,4.84836
455,2.39807
456,2.08158
457,4.84836
