# id,beta
0,1.52876
1,3.93208
2,1.01297
3,1.61678
4,3.93208
5,1.01297
6,3.93208
7,1.88519
8,3.93208
9,1.88519
10,3.93208
11,1.57031
12,3.93208
13,3.93208
14,3.93208
15,3.93208
16,1.52876
17,3.93208
18,1.05391
19,3.93208
20,3.93208
21,3.93208
22,3.93208
23,3.93208
24,1.61678
25,1.88519
26,3.93208
27,1.52876
28,3.93208
29,3.93208
30,1.57031
31,1.05139
32,3.93208
33,3.93208
34,3.93208
35,1.88519
36,1.88519
37,3.93208
38,3.93208
39,3.93208
40,1.57031
41,1.88519
42,3.93208
43,3.93208
44,1.88519
45,1.06395
46,1.06395
47,1.88519
48,1.61678
49,3.93208
50,3.93208
51,3.93208
52,3.93208
53,1.88519
54,3.93208
55,1.05638
56,3.93208
57,3.93208
58,1.88519
59,3.93208
60,3.93208
61,1.88519
62,1.88519
63,3.93208
64,3.93208
65,1.05638
66,3.93208
67,3.93208
68,3.93208
69,1.06395
70,3.93208
71,3.93208
72,3.93208
73,3.93208
74,1.88519
75,3.93208
76,3.93208
77,1.05638
78,3.93208
79,3.93208
80,1.88519
81,3.93208
82,3.93208
83,3.93208
84,3.93208
85,1.88519
86,1.57031
87,3.93208
88,1.61678
89,1.06395
90,1.06395
91,3.93208
92,3.93208
93,1.61678
94,3.93208
95,1.88519
96,1.06395
97,1.52876
98,3.93208
99,1.61678
100,3.93208
101,3.93208
102,3.93208
103,3.93208
104,3.93208
105,1.57031
106,3.93208
107,3.93208
108,3.93208
109,3.93208
110,3.93208
111,1.05391
112,3.93208
113,1.61678
114,3.93208
115,3.93208
116,1.61678
117,3.93208
118,3.93208
119,3.93208
120,0.93027
121,3.93208
122,1.05638
123,3.93208
124,3.93208
125,1.61678
126,3.93208
127,3.93208
128,3.93208
129,3.93208
130,3.93208
131,1.61678
132,0.93027
133,3.93208
134,3.93208
135,3.93208
136,3.93208
137,3.93208
138,3.93208
139,3.93208
140,1.57031
141,3.93208
142,1.88519
143,1.88519
144,3.93208
145,1.05638
146,3.93208
147,3.93208
148,3.93208
149,3.93208
150,1.52876
151,1.06395
152,1.05391
153,1.05638
154,3.93208
155,0.93027
156,3.93208
157,3.93208
158,1.57031
159,3.93208
160,3.93208
161,1.61678
162,1.88519
163,3.93208
164,3.93208
165,3.93208
166,3.93208
167,1.88519
168,1.61678
169,3.93208
170,3.93208
171,1.05391
172,3.93208
173,3.93208
174,1.05139
175,1.52876
176,3.93208
177,3.93208
178,3.93208
179,1.61678
180,3.93208
181,3.93208
182,1.05391
183,3.93208
184,3.93208
185,1.05139
186,3.93208
187,3.93208
188,3.93208
189,1.05139
190,3.93208
191,3.93208
192,3.93208
193,1.06395
194,1.57031
195,3.93208
196,1.88519
197,3.93208
198,3.93208
199,3.93208
200,1.61678
201,3.93208
202,3.93208
203,1.05391
204,1.57031
205,1.52876
206,3.93208
207,0.77642
208,3.93208
209,1.05638
210,3.93208
211,0.77642
212,1.57031
213,1.88519
214,3.93208
215,1.88519
216,3.93208
217,1.57031
218,1.88519
219,3.93208
220,3.93208
221,3.93208
222,3.93208
223,3.93208
224,3.93208
225,3.93208
226,3.93208
227,1.88519
228,3.93208
229,1.06395
230,3.93208
231,3.93208
232,3.93208
233,3.93208
234,3.93208
235,3.93208
236,3.93208
237,3.93208
238,3.93208
239,3.93208
240,3.93208
241,3.93208
242,3.93208
243,1.06395
244,3.93208
245,3.93208
246,3.93208
247,1.01297
248,1.61678
249,3.93208
250,1.88519
251,3.93208
252,3.93208
253,1.88519
254,1.05139
255,1.05139
256,1.06395
257,1.88519
258,1.88519
259,3.93208
260,3.93208
261,3.93208
262,3.93208
263,3.93208
264,1.57031
265,3.93208
266,3.93208
267,3.93208
268,3.93208
269,3.93208
270,3.93208
271,3.93208
272,1.61678
273,3.93208
274,3.93208
275,3.93208
276,3.93208
277,3.93208
278,3.93208
279,3.93208
280,1.88519
281,1.01297
282,3.93208
283,3.93208
284,3.93208
285,3.93208
286,3.93208
287,3.93208
288,3.93208
289,3.93208
290,3.93208
291,1.57031
292,3.93208
293,3.93208
294,1.57031
295,1.52876
296,3.93208
297,1.57031
298,3.93208
299,3.93208
300,3.93208
301,3.93208
302,3.93208
303,3.93208
304,3.93208
305,1.06395
306,1.05139
307,3.93208
308,1.61678
309,1.57031
310,1.06395
311,3.93208
312,1.52876
313,3.93208
314,3.93208
315,3.93208
316,1.57031
317,3.93208
318,3.93208
319,1.05638
320,1.05139
321,3.93208
322,3.93208
323,1.88519
324,3.93208
325,3.93208
326,3.93208
327,1.52876
328,3.93208
329,1.52876
330,1.05139
331,3.93208
332,3.93208
333,1.01297
334,3.93208
335,3.93208
336,3.93208
337,3.93208
338,1.06395
339,3.93208
340,3.93208
341,3.93208
342,1.05139
343,1.88519
344,3.93208
345,3.93208
346,3.93208
347,3.93208
348,1.88519
349,3.93208
350,3.93208
351,3.93208
352,3.93208
353,1.88519
354,3.93208
355,1.05139
356,1.61678
357,1.01297
358,3.93208
359,3.93208
360,3.93208
361,3.93208
362,3.93208
363,3.93208
364,3.93208
365,3.93208
366,3.93208
367,3.93208
368,3.93208
369,1.88519
370,3.93208
371,3.93208
372,3.93208
373,1.52876
374,1.57031
375,3.93208
376,3.93208
377,3.93208
378,3.93208
379,3.93208
380,3.93208
381,3.93208
382,3.93208
383,3.93208
384,1.57031
385,3.93208
386,3.93208
387,3.93208
388,3.93208
389,3.93208
390,3.93208
391,1.52876
392,3.93208
393,1.52876
394,3.93208
395,3.93208
396,1.88519
397,1.88519
398,3.93208
399,3.93208
400,3.93208
401,3.93208
402,3.93208
403,1.52876
404,1.52876
405,3.93208
406,3.93208
407,3.93208
408,0.94331
409,3.93208
410,3.93208
411,1.05638
412,1.88519
413,1.88519
414,1.61678
415,3.93208
416,3.93208
417,1.88519
418,1.52876
419,3.93208
420,1.61678
421,1.88519
422,1.03190
423,3.93208
424,3.93208
425,3.93208
426,1.05391
427,3.93208
428,3.93208
429,1.88519
430,1.57031
431,1.06395
432,1.57031
433,1.88519
434,0.93027
435,1.88519
436,1.05139
437,3.93208
438,1.06395
439,1.57031
440,3.93208
441,3.93208
442,1.88519
443,3.93208
444,3.93208
445,3.93208
446,3.93208
447,1.06395
448,3.93208
449,3.93208
450,3.93208
451,3.93208
452,3.93208
453,3.93208
454,1.05391
455,3.93208
456,1.57031
457,3.93208
458,1.52876
459,1.05638
460,1.88519
461,3.93208
462,1.61678
463,3.93208
464,3.93208
465,1.05391
466,3.93208
467,1.05638
468,3.93208
469,1.57031
470,1.61678
471,1.05139
472,1.05139
473,3.93208
474,3.93208
475,1.88519
476,3.93208
477,1.57031
478,3.93208
479,3.93208
480,3.93208
481,3.93208
482,3.93208
483,1.05391
484,3.93208
485,3.93208
486,1.61678
487,3.93208
488,3.93208
489,3.93208
490,3.93208
491,3.93208
492,1.05638
493,3.93208
494,1.88519
495,1.05638
496,3.93208
497,3.93208
498,1.57031
499,3.93208
500,3.93208
501,3.93208
502,3.93208
503,3.93208
504,1.52876
505,1.52876
506,3.93208
507,3.93208
